City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Viseu,PT,2022-02-02 15:59:26,40.661,-7.9097,67.86,46,2,0.38
153,Dzilam Gonzalez,MX,2022-02-02 15:59:26,21.2833,-88.9333,82.11,55,10,8.72
154,Puerto Escondido,MX,2022-02-02 15:59:27,15.85,-97.0667,81.16,55,0,5.21
155,Barra Da Estiva,BR,2022-02-02 15:59:27,-13.6261,-41.3269,80.91,54,23,7.36
156,Bengkulu,ID,2022-02-02 15:59:27,-3.8004,102.2655,76.78,85,94,5.26
157,Gamba,GA,2022-02-02 15:59:28,-2.65,10.0,81.5,73,34,7.2
158,Bukama,CD,2022-02-02 15:59:28,-9.2,25.85,75.43,87,100,2.57
159,Mumford,GH,2022-02-02 15:59:29,5.2618,-0.759,83.59,67,37,12.86
160,Tuatapere,NZ,2022-02-02 15:59:30,-46.1333,167.6833,56.82,96,100,6.91
161,Boo,SE,2022-02-02 15:59:30,59.3333,18.2833,24.76,76,0,8.05
162,Maraa,BR,2022-02-02 15:59:30,-1.8333,-65.3667,87.64,62,73,6.62
163,Provideniya,RU,2022-02-02 15:59:31,64.3833,-173.3,5.14,66,0,22.86
164,Bathsheba,BB,2022-02-02 15:59:31,13.2167,-59.5167,83.01,69,40,18.41
165,Hirado,JP,2022-02-02 15:59:32,33.3597,129.5531,41.36,55,100,8.43
166,Tautira,PF,2022-02-02 15:59:32,-17.7333,-149.15,77.02,78,25,18.92
167,Kemi,FI,2022-02-02 15:59:32,65.8596,24.8228,6.57,92,75,5.75
168,Ihosy,MG,2022-02-02 15:59:33,-22.4,46.1167,71.26,72,8,11.79
169,Sioux Lookout,CA,2022-02-02 15:59:33,50.1001,-91.917,-16.22,83,20,5.75
170,Hobart,AU,2022-02-02 15:58:03,-42.8794,147.3294,55.26,74,75,5.75
171,Alice Town,BS,2022-02-02 15:59:34,25.7167,-79.3,72.19,66,95,21.63
172,Hollola,FI,2022-02-02 15:59:34,61.05,25.4333,11.82,99,97,2.68
173,Flagstaff,US,2022-02-02 15:59:22,35.1981,-111.6513,27.59,46,9,10.2
174,Cabo San Lucas,MX,2022-02-02 15:59:35,22.8909,-109.9124,72.52,49,8,9.19
175,Ilulissat,GL,2022-02-02 15:59:36,69.2167,-51.1,-4.67,92,99,8.88
176,Nalgonda,IN,2022-02-02 15:59:36,17.05,79.2667,73.63,55,11,9.89
177,Ukiah,US,2022-02-02 15:59:36,39.1502,-123.2078,50.02,49,0,3.71
178,Lazaro Cardenas,MX,2022-02-02 15:59:37,17.9583,-102.2,77.79,58,0,2.64
179,Boende,CD,2022-02-02 15:59:37,-0.2167,20.8667,87.78,31,95,3.44
180,Dibulla,CO,2022-02-02 15:59:38,11.2725,-73.3091,86.02,58,13,8.72
181,Jatai,BR,2022-02-02 15:59:38,-17.8814,-51.7144,80.26,68,95,7.07
182,Cabedelo,BR,2022-02-02 15:59:38,-6.9811,-34.8339,88.47,62,94,12.39
183,Beidao,CN,2022-02-02 15:59:39,34.5686,105.8933,20.5,90,60,2.15
184,Atasu,KZ,2022-02-02 15:59:39,48.6814,71.6433,11.84,86,100,5.03
185,Zunheboto,IN,2022-02-02 15:59:40,25.9667,94.5167,45.81,89,94,1.59
186,Berdigestyakh,RU,2022-02-02 15:59:40,62.0989,126.6992,-14.19,97,100,5.44
187,Chicama,PE,2022-02-02 15:59:41,-7.8447,-79.1469,66.74,56,6,10.42
188,La Primavera,CO,2022-02-02 15:59:41,5.4906,-70.4092,93.9,35,60,11.12
189,Caravelas,BR,2022-02-02 16:00:42,-17.7125,-39.2481,86.83,58,80,10.13
190,Takefu,JP,2022-02-02 16:00:42,35.9039,136.1669,33.3,79,98,6.91
191,Roebourne,AU,2022-02-02 16:00:43,-20.7833,117.1333,83.16,73,100,12.53
192,Kropotkin,RU,2022-02-02 16:00:43,45.4375,40.5756,37.89,90,100,6.04
193,Yanji,CN,2022-02-02 16:00:44,42.9075,129.5078,9.0,70,43,11.27
194,Fastiv,UA,2022-02-02 16:00:44,50.0767,29.9177,31.71,92,100,10.31
195,Ankang,CN,2022-02-02 16:00:45,32.68,109.0172,39.65,66,84,2.48
196,Tabas,IR,2022-02-02 16:00:45,33.5959,56.9244,49.71,42,0,0.89
197,Lata,PT,2022-02-02 16:00:45,40.1629,-8.3327,71.04,42,5,6.17
198,Chadiza,ZM,2022-02-02 16:00:46,-14.0678,32.4392,70.45,92,35,4.79
199,San Andres,CO,2022-02-02 16:00:46,12.5847,-81.7006,80.24,65,24,15.43
200,Pangnirtung,CA,2022-02-02 16:00:47,66.1451,-65.7125,2.55,90,100,11.3
201,Port Alfred,ZA,2022-02-02 16:00:47,-33.5906,26.891,83.03,69,97,2.21
202,Ambilobe,MG,2022-02-02 16:00:48,-13.2,49.05,75.04,92,100,2.04
203,Tiksi,RU,2022-02-02 16:00:48,71.6872,128.8694,-7.19,100,100,6.13
204,Trinidad,BO,2022-02-02 16:00:48,-14.8333,-64.9,84.56,63,64,7.18
205,Port Victoria,KE,2022-02-02 16:00:49,0.0939,33.9756,75.36,64,100,10.63
206,Necochea,AR,2022-02-02 16:00:50,-38.5473,-58.7368,93.04,40,74,11.01
207,That Phanom,TH,2022-02-02 16:00:50,16.9364,104.7104,74.39,74,42,8.48
208,Muhos,FI,2022-02-02 16:00:51,64.808,25.9931,10.18,99,97,3.31
209,Vegachi,CO,2022-02-02 16:00:51,6.7614,-74.7947,79.07,54,9,4.63
210,Ivanava,BY,2022-02-02 16:00:52,52.1451,25.5365,32.88,98,100,10.02
211,Masunga,BW,2022-02-02 16:00:53,-20.6246,27.4488,79.95,55,81,6.82
212,Port Hardy,CA,2022-02-02 16:00:53,50.6996,-127.4199,41.76,90,100,12.26
213,Nanga Eboko,CM,2022-02-02 16:00:54,4.6833,12.3667,92.77,20,17,1.32
214,Te Anau,NZ,2022-02-02 16:00:55,-45.4167,167.7167,60.98,97,100,2.73
215,Ulaanbaatar,MN,2022-02-02 16:00:55,47.9077,106.8832,-12.77,100,88,3.02
216,Venado Tuerto,AR,2022-02-02 16:00:09,-33.7456,-61.9688,97.79,24,85,9.08
217,Tiarei,PF,2022-02-02 16:00:56,-17.5333,-149.3333,77.02,77,5,19.8
218,Acarau,BR,2022-02-02 16:00:56,-2.8856,-40.12,86.09,59,93,13.51
219,Honiara,SB,2022-02-02 15:57:59,-9.4333,159.95,78.04,88,100,5.55
220,Cacoal,BR,2022-02-02 16:00:57,-11.4386,-61.4472,85.98,67,32,2.08
221,Khatanga,RU,2022-02-02 16:00:57,71.9667,102.5,-38.74,99,54,1.77
222,Comodoro Rivadavia,AR,2022-02-02 16:00:02,-45.8667,-67.5,75.06,31,0,12.66
223,Kisesa,TZ,2022-02-02 16:00:58,-3.0833,34.15,66.97,74,100,4.92
224,Saint-Joseph,RE,2022-02-02 16:00:58,-21.3667,55.6167,80.96,92,100,30.4
225,Padang,ID,2022-02-02 16:00:59,-0.9492,100.3543,79.34,85,99,3.83
226,Pasan,IN,2022-02-02 16:01:00,22.85,82.2,62.38,37,0,2.19
227,Evensk,RU,2022-02-02 16:01:00,61.95,159.2333,20.52,46,87,22.41
228,San Marcos,US,2022-02-02 16:00:36,33.1434,-117.1661,55.94,73,0,1.01
229,Bonnyville,CA,2022-02-02 15:58:15,54.2668,-110.735,-33.48,100,48,4.23
230,Wad Madani,SD,2022-02-02 16:01:01,14.4012,33.5199,83.44,21,48,8.46
231,Dukat,RU,2022-02-02 16:01:02,62.55,155.55,-8.75,99,100,4.47
232,Mar Del Plata,AR,2022-02-02 15:57:12,-38.0023,-57.5575,84.22,50,0,11.99
233,Narsaq,GL,2022-02-02 16:01:02,60.9167,-46.05,5.22,65,0,5.73
234,Palu,ID,2022-02-02 16:02:03,-0.8917,119.8707,75.24,92,100,2.39
235,Viransehir,TR,2022-02-02 16:02:03,37.2353,39.7631,43.12,73,97,6.93
236,Kununurra,AU,2022-02-02 16:02:04,-15.7667,128.7333,78.78,89,100,5.75
237,Codrington,AU,2022-02-02 16:02:04,-38.2667,141.9667,58.86,64,99,13.76
238,Saint-Philippe,RE,2022-02-02 16:02:04,-21.3585,55.7679,81.95,93,100,30.31
239,Batagay,RU,2022-02-02 16:02:05,67.6333,134.6333,-29.96,99,95,3.74
240,Laiyang,CN,2022-02-02 16:02:05,36.9758,120.7136,26.62,57,66,3.36
241,Assiniboia,CA,2022-02-02 16:02:05,49.6334,-105.9845,-15.56,99,96,5.88
242,Marsh Harbour,BS,2022-02-02 16:00:14,26.5412,-77.0636,71.96,54,35,17.52
243,Faya,SA,2022-02-02 16:02:06,18.3851,42.4509,60.8,67,48,5.37
244,Black Diamond,US,2022-02-02 16:02:07,47.3087,-122.0032,35.22,90,100,2.24
245,Salacgriva,LV,2022-02-02 16:02:07,57.7536,24.3581,24.91,92,78,6.26
246,Khotiv,UA,2022-02-02 16:01:10,50.3307,30.4684,32.5,70,0,8.95
247,Kaohsiung,TW,2022-02-02 16:00:11,22.6163,120.3133,66.15,89,20,1.99
248,Hamilton,US,2022-02-02 15:57:35,39.1834,-84.5333,44.89,93,100,3.0
249,Serafimovskiy,RU,2022-02-02 16:02:08,54.4241,53.7964,25.23,92,97,10.85
250,Sola,VU,2022-02-02 16:02:08,-13.8833,167.55,80.62,80,100,10.54
251,Atami,JP,2022-02-02 16:02:09,35.0894,139.0686,39.61,64,50,3.38
252,Asau,RO,2022-02-02 16:02:10,46.4333,26.4,36.52,85,99,6.04
253,Masumbwe,TZ,2022-02-02 16:02:10,-3.6333,32.1833,69.69,83,82,2.39
254,Vincennes,FR,2022-02-02 16:02:11,48.85,2.4333,51.75,80,100,4.0
255,Flinders,AU,2022-02-02 16:02:11,-34.5833,150.8552,66.2,78,100,14.0
256,Frankfort,ZA,2022-02-02 16:02:12,-27.2667,28.4833,85.8,24,0,7.05
257,Pevek,RU,2022-02-02 16:02:12,69.7008,170.3133,-9.13,80,11,3.69
258,Toamasina,MG,2022-02-02 16:02:13,-18.1667,49.3833,78.84,78,96,14.34
259,Alekseyevsk,RU,2022-02-02 16:02:13,57.8406,108.3492,3.29,97,100,4.05
260,Ordzhonikidze,KZ,2022-02-02 16:02:13,52.4411,61.7408,22.05,96,100,7.78
261,Bad Wildungen,DE,2022-02-02 16:02:14,51.1196,9.1248,45.99,61,40,13.8
262,Kavieng,PG,2022-02-02 16:02:14,-2.5744,150.7967,79.52,82,100,11.99
263,Buta,CD,2022-02-02 16:02:15,2.7858,24.73,89.08,28,8,3.02
264,Ponta Delgada,PT,2022-02-02 16:02:15,37.7333,-25.6667,64.51,67,40,11.5
265,Capao Bonito,BR,2022-02-02 16:01:23,-24.0058,-48.3494,74.1,87,100,2.93
266,Cherskiy,RU,2022-02-02 16:02:16,68.75,161.3,-7.38,65,44,3.8
267,Port Hedland,AU,2022-02-02 16:02:16,-20.3167,118.5667,80.65,89,100,6.91
268,Lavrentiya,RU,2022-02-02 16:02:16,65.5833,-171.0,-2.52,79,1,16.2
269,Samarai,PG,2022-02-02 16:02:17,-10.6167,150.6667,79.77,83,100,10.25
270,Gobabis,NA,2022-02-02 16:02:17,-22.45,18.9667,66.87,77,98,8.12
271,Dalbandin,PK,2022-02-02 16:02:18,28.8947,64.4101,52.48,34,0,16.6
272,Redmond,US,2022-02-02 16:02:18,47.674,-122.1215,37.65,87,100,2.24
273,Olafsvik,IS,2022-02-02 16:02:19,64.8945,-23.7142,32.59,55,71,14.12
274,Chokurdakh,RU,2022-02-02 16:02:19,70.6333,147.9167,-15.92,99,77,7.38
275,Constitucion,CL,2022-02-02 16:02:20,-35.3333,-72.4167,67.06,65,2,8.1
276,Port-Gentil,GA,2022-02-02 16:02:20,-0.7193,8.7815,82.02,72,61,10.11
277,Rio Grande,BR,2022-02-02 16:02:21,-32.035,-52.0986,80.04,62,1,11.79
278,Isangel,VU,2022-02-02 16:02:21,-19.55,169.2667,77.0,88,100,0.85
279,Jilib,SO,2022-02-02 16:02:22,0.4883,42.7854,81.21,72,100,10.87
280,Altoona,US,2022-02-02 16:00:02,40.5187,-78.3947,39.76,87,99,5.82
281,Marsciano,IT,2022-02-02 16:03:22,42.9059,12.3359,54.27,71,0,3.02
282,Talaya,RU,2022-02-02 16:03:23,61.3833,152.75,-17.03,98,100,2.98
283,Camacha,PT,2022-02-02 16:03:23,33.0833,-16.3333,65.53,88,40,11.5
284,Key West,US,2022-02-02 16:00:01,24.5557,-81.7826,75.0,77,28,22.32
285,Tank,PK,2022-02-02 16:03:24,32.2217,70.3793,60.22,46,94,16.4
286,Lorengau,PG,2022-02-02 16:03:24,-2.0226,147.2712,78.08,83,100,5.37
287,Sandnessjoen,NO,2022-02-02 16:03:25,66.0217,12.6316,22.98,54,0,5.01
288,Victor Harbor,AU,2022-02-02 16:03:26,-35.5667,138.6167,58.46,77,20,8.05
289,Pacific Grove,US,2022-02-02 16:02:15,36.6177,-121.9166,55.35,36,0,1.99
290,Vostok,RU,2022-02-02 16:03:26,46.4856,135.8833,-4.79,99,100,3.69
291,Vestmannaeyjar,IS,2022-02-02 16:03:27,63.4427,-20.2734,35.67,64,100,11.95
292,Waipawa,NZ,2022-02-02 16:03:28,-41.4122,175.5153,65.44,75,99,14.7
293,Severo-Kurilsk,RU,2022-02-02 16:03:28,50.6789,156.125,27.88,87,97,8.32
