City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
187,Placido De Castro,BR,31.350000000000023,moderate rain,-10.3353,-67.1856,Hotel Carioca
188,Vanimo,PG,25.519999999999982,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
190,Waw,SS,25.670000000000016,overcast clouds,7.7029,27.9953,Universal Gab Hotel
195,Georgetown,MY,27.310000000000002,few clouds,5.4112,100.3354,Cititel Penang
196,Santa Helena De Goias,BR,30.980000000000018,scattered clouds,-17.8136,-50.5969,Hotel Cana Verde
197,Inirida,CO,29.24000000000001,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
201,Tadine,NC,26.5,light rain,-21.55,167.8833,
211,Belmonte,BR,28.430000000000007,heavy intensity rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
220,Lazaro Cardenas,MX,28.45999999999998,clear sky,17.9583,-102.2,quinta antigua
224,Daru,PG,25.470000000000027,moderate rain,-9.0763,143.2092,Daru Lodge
228,Honiara,SB,26.24000000000001,broken clouds,-9.4333,159.95,Heritage Park Hotel
